State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_type_TCPD,Party_ID,Max_Poll_No,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Country,Women %,,,Name of Party,Result_2019,Result_2014,Share_2019,Share_2014,MH_2009_Party,MH_2009_Seats,MH_2009_Votes%,MH_2014_Party,MH_2014_Seats,MH_2014_Votes%,MH_Year,Congress Seats
Andhra_Pradesh,17,3,2019,4,0,4,10,Pentapati Rajesh,M,IND,1462,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.12,yes,199,0.02,2.38,48,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,11,Chiranjeevi Lingala,M,Andhra Chaitanya Party,1263,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.1,yes,87,0.01,2.38,42,Local Party,17074,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,12,Dhanalakoti Ramana,M,IND,1176,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.1,yes,166,0.01,2.38,47,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,13,Yella Rao Siyyadula,M,IND,1010,SC,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.08,yes,180,0.01,2.38,GEAP59677,Independents,10809,0,TRUE,3,IND,10809,,,TRUE,0,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,14,Surya Bhavani. K,F,Pyramid Party of India,830,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.07,yes,39,0,2.38,45,Local Party,6298,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,3,2019,4,0,4,15,Lagudu. Govinda Rao,M,Jana Jagruti Party,791,,1217890,1499300,VIZIANAGARAM,GEN,SEEMANDHRA,14,81.23,0.06,yes,0,0,2.38,44,Local Party,17070,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,1,M V V SATYANARAYANA,M,YSRCP,436906,GEN,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,35.24,no,4414,0.36,3.45,54,State-based Party,8615,0,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,2,BHARAT MATHUKUMILLI,M,TDP,432492,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,34.89,no,143618,11.58,3.45,52,State-based Party,8300,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,3,V.V. LAKSHMI NARAYANA,F,Janasena Party,288874,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,23.3,no,254982,20.57,3.45,57,Local Party,17069,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,4,DAGGUBATI PURANDESWARI,F,BJP,33892,GEN,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,2.73,yes,17246,1.39,3.45,GEAP76730,National Party,1605,0,TRUE,3,INC,3482,,,FALSE,2,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,5,None Of The Above,,NOTA,16646,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,1.34,yes,2013,0.16,3.45,,,,0,TRUE,548,NOTA,,,,,0,,FALSE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,6,PEDADA. RAMANIKUMARI,F,INC,14633,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,1.18,yes,11605,0.94,3.45,53,National Party,3482,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,7,GEORGE BANGARI,M,VCK,3028,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.24,yes,564,0.05,3.45,55,Local Party,8488,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,8,DURGAPRASAD. GUNTU,M,IND,2464,GEN,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.2,yes,170,0.01,3.45,GEAP266,Independents,10809,0,TRUE,2,IND,10809,,,TRUE,0,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,9,PULAPAKA RAJA SEKHAR,M,IND,2294,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.19,yes,379,0.03,3.45,64,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,10,ANMISH VARMA,M,IND,1915,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.15,yes,288,0.02,3.45,58,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,11,B. JAYA VENU GOPAL,M,Pyramid Party of India,1627,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.13,yes,243,0.02,3.45,56,Local Party,6298,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,4,2019,4,0,4,12,R. UDAYA GOWRI,F,IND,1384,,1239754,1825769,VISAKHAPATNAM,GEN,SEEMANDHRA,14,67.9,0.11,yes,71,0.01,3.45,59,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
